"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_0","loss.1","parent_id.1","no_change.1","pland_4","pland_25","pland_23","pland_32","pland_5","pland_41","pland_24","pland_39","pland_9","pland_20","pland_30","pland_11"
"2845",3,1005758,1005761,-64.6588597026888,-1.12147912766475,0.0169315381215058,224038.614325064,0.446318074689193,0.0546714790821951,99.1628305512177,0.33617989501088,0,0,84.7272505905158,155.58551516238,0,0.795025922546688,0,181.969277975674,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,58.7150001525879,0.670832991600037,18,504.710686353896,85.6708380968802,43.2945527840745,4.51954090188083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2912",3,1005766,1005769,-64.3885894466301,-5.17553318957368,0.00297979635468137,79376.209750978,0.000198805378480709,0.00367789950189312,99.8827048266964,0.113418468423245,0,0,61.9943708342207,176.36303236384,0,3.42420766131817,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,78.9249992370605,0.936406493186951,15.5,679.537361666022,140.966921628335,119.063289727669,63.5223371562996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3158",3,1005763,1005766,-63.5777786303182,-5.17553317444481,0.00250536464083706,100585.00185453,NA,NA,99.8746532088679,0.125346791132087,0,0,67.0403795015931,165.955071993411,0,4.06213427583042,0,0,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,66.9499969482422,0.80587100982666,15.5,620.29123562949,64.7495839367584,29.5500548118897,54.6728855214263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7328",4,356,360,-49.7939948950019,-8.41877642074772,0.99999991747378,3762.25529489506,NA,0.003081483366451,0.0287273771904625,NA,53.9386525897246,0,0.154700625883202,179.04894247325,0,4.79033643419923,0,0,1506583,0.544,0.37,0.783,0.555,21042,53.28,375718,18020.91,181.38500213623,1.40630799531937,3.5,217.632003357478,46.2416120423451,163.312571763287,48.0609780891037,99.9659048775905,NA,NA,NA,0.00228626185252816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",4,474,478,-73.577778645362,-6.52688452757426,0.999999826472704,3729.08837363196,NA,9.95018935210337e-05,0.0448753539779862,NA,0,0,67.0957118046643,78.4921153927965,0,0.0725940565671314,0,0.582280439319491,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.229995727539,1.34810197353363,17.5,1623.01702833885,137.323198514515,80.6726965115491,17.7286616364077,99.9550251441285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4278",4,26458,26462,-59.7939948512601,-12.7431007300179,0.999508570289841,35372.5767431214,NA,0.00467192639429667,2.63586111058649,NA,20.891203580298,0,8.67078995070296,198.933472311566,0,0.626431664240722,0,873.24143152285,5103304,0.689,0.567,0.84,0.687,20513,61.86,560872,28139.25,377.804992675781,2.27596998214722,4.5,197.565360025425,31.4614885345058,259.659246946874,0,97.35936756033,NA,NA,NA,9.94026892403547e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4389",4,1005775,1005779,-59.5237245553881,-4.90526290052358,0.000419435357863374,16155.5668545268,0.0021868591632878,0.00467192639429667,99.9790260325703,0.0141151818721304,0,0,33.9558857350869,145.147460059795,0,0.221280172652927,0,839.217911481096,1300805,0.56,0.425,0.776,0.532,40565,54.38,295945,7313.77,46.0699996948242,1.75928294658661,14.5,343.960550428425,55.5698933701796,92.6829296816675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4840",4,4972,4976,-57.9021029671607,-15.9863439717993,0.999999970403756,8004.01371559943,0.00248506723100887,0.442143161741098,0.0233596319714834,NA,98.2280291471416,36.410168268432,2.44729742705372,84.7608635217141,0.728708139435026,0.818313627278086,0,0,5102504,0.708,0.633,0.813,0.691,93882,61.55,1816006,19896.86,127.529998779297,0.690444022417068,-0.5,128.070001623464,22.7974940594713,65.3256128145101,126.923126974653,99.5001038758103,NA,NA,NA,0.0319082632461539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1757",4,1005762,1005766,-68.1723732285173,-7.06742505541921,0.000908334218160722,32679.9822673598,0.0133199603582075,0.00606356404366164,99.9545729710172,0.0260435045809729,0,0,69.9570905554002,183.056167584865,0,0.0584104914183601,0,648.808981876461,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,154.269996643066,2.35276305675507,12.5,1132.30225387642,190.061496558587,104.207479719505,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2169",4,1005758,1005762,-66.8210218656273,-6.52688453520858,0.00399399010849766,155624.826681588,0.00557210603717789,NA,99.8001006959163,0.194327198046579,0,0,50.7477150666548,239.245147748132,0,1.45579332885419,0,505.079053543982,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,111.625,1.48228549957275,13.5,978.599293217312,182.806847711176,92.2665369029498,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
