"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_0","pland_4","loss.1","parent_id.1","no_change.1","pland_9","pland_24","pland_39","pland_41","pland_25","pland_23","pland_32","pland_5","pland_20","pland_30","pland_11"
"822",5,1787985,1787990,-69.1183192115703,-6.03138901143523,9.73365312094687e-05,4151.61562221569,NA,0.00128666361969804,99.9951330550038,0.00358028137655106,0,0,98.0106351774876,292.855639291761,0,0.312279051493623,0,0,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,161.610000610352,2.50990998744965,15.5,1155.46531842957,106.888673034602,154.600625716465,36.9965083341637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070",5,1788066,1788071,-67.6768777035528,-4.58994759266923,0.000551501149850919,6019.8426522279,0.000895070344137765,0.000447535172068882,99.9856788744938,0.0129785199899976,0,0,74.4005443697919,337.16263195408,0,1.51764044667618,0,1306.89175697855,1301001,0.549,0.416,0.745,0.534,28076,54.89,285495,10074.99,121.645000457764,1.03092950582504,18.5,939.12347499215,91.2135485964307,54.0800754292888,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1310",5,1787990,1787995,-66.2354362673978,-6.03138902800845,5.59418182710658e-06,332.129249776744,NA,NA,99.9997202905175,0.000279709482543051,0,0,27.3214861955348,426.212923610352,0,2.08630878776093,0,0,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,114.575000762939,1.54042547941208,16.5,893.73901299879,146.82907103623,130.82154298728,61.950480811301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371",5,1787979,1787984,-65.8750759094705,-6.03138903268691,9.06238190816477e-05,2989.16324799556,0.00190202448129275,0.000615360861594713,99.9954687063828,0.00201390827430997,0,0,45.0635228202164,336.387773015246,0,0.0272288595878015,0,0,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,108.430000305176,0.72987300157547,16.5,863.799771720966,170.052507660719,143.499003549352,61.2091978463657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1565",5,1788116,1788121,-64.7939948862694,-2.06742508559998,0.000139849851434226,4234.6479346582,NA,NA,99.9930072629364,0.00699273706357629,0,0,85.3509555900905,319.745030115021,0,1.19312254916554,235.580689303846,0,1302801,0.498,0.348,0.763,0.466,18186,55.23,154283,8325.67,73.2799987792969,0.514802992343903,23,537.915191655842,90.2600235361912,9.40748005253713,29.3462351146049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1566",5,1787966,1787971,-64.7939948830209,-1.70706471875031,0.00121468890068577,41806.7693157096,NA,NA,99.9392471003917,0.0607528996083508,0,0,83.3118517925667,261.166400837893,0,2.69532452629092,1066.44013595776,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,66.7399978637695,0.514831006526947,21,528.622261650549,88.6140048218487,0,41.6751225921463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1809",5,1788116,1788121,-63.352553446861,-2.06742508210049,0.00485209426567057,164341.704405413,0.062151447021066,0.0149364863677989,99.7571002853596,0.165811781251521,0,0,106.432885712402,260.399464377604,0,1.8791136927827,1280.12930581551,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,60.189998626709,0.971216976642609,19,385.856616001296,204.69474364035,0,173.90440656343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2839",6,1788065,1788071,-57.2264272664181,-4.58994758400766,5.03470731350042e-05,1660.64624888674,NA,0.00251738534288746,99.9974826146571,NA,0,0,32.698677905117,406.091146446509,0,0.341054205193001,1619.55228689505,0,1503606,0.64,0.51,0.8,0.644,101097,52.08,1770652,17971.96,126.020000457764,2.81939351558685,12.5,162.130430372868,138.791465458696,0,41.5629532417934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2850",6,1787946,1787952,-57.2264272658128,-0.625983613728247,0.164112538220093,153443.713397258,0.0170063365386175,0.0134260551620665,99.4024846033915,0.567083004907783,0,0,44.8087832228491,208.388496849669,0,2.16906727800847,0,1541.11687608117,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,121.129997253418,5.09031391143799,17,135.794073395792,181.802784556957,44.7653370781978,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937",6,1787997,1788003,-68.3975984497893,-8.55391154631546,0.000991044741965319,39959.3003638342,NA,0.0495645203066287,99.9504354796934,NA,0,0,42.5760756601317,345.658566692941,0,0.438288596948732,119.572769082676,0,1300706,0.588,0.455,0.777,0.576,33976,52.4,364600,10668.3,203.305000305176,2.58310294151306,11.5,1148.64728379585,61.2501744204145,10.6130483835434,27.5303791010716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
