"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_23","pland_3","pland_32","pland_33","pland_5","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_39","pland_4","pland_41","pland_25","pland_9","pland_24","pland_30","pland_20","pland_11"
"2885",2,698455,698457,-67.3390399369367,-6.86472238123104,0.0165653386246859,391967.227073499,NA,0.000286851446806985,0.00100398006382445,NA,99.1682742299832,NA,0.830434938506221,NA,0,0,73.8852720389322,191.922714857608,0,0.449652128840738,0,620.037768409512,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,128.429992675781,2.05079293251038,13.5,1046.46805809192,225.31869626428,96.6143353816305,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3972",2,698455,698457,-64.8615624136745,-4.83769534942564,0.00287729215410981,69369.364373945,NA,0.0020055582614675,0.00988453714580409,NA,99.8769446752428,NA,0.111165229349913,NA,0,0,5.46735395463678,133.715110046718,0.168338948187849,1.35334489292849,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,84.2399978637695,0.784352004528046,15.5,692.234587124261,162.563474978538,68.0922722525338,100.693807009807,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5280",2,698458,698460,-61.9336345071025,2.81996231625657,0.0556593047059232,101036.01059318,NA,0.018886930244271,0.104164281953252,NA,99.6435807330418,NA,0.233368054760651,NA,0,0,25.6621964806284,163.236064231928,0,2.32929320503224,156.546109430376,466.150555195299,1400050,0.542,0.379,0.813,0.518,15638,46.83,278084,17453.31,NA,NA,NA,279.904998779297,3.60891306400299,3.5,440.427078989459,118.962659040857,5.7595782071142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5748",2,698458,698460,-60.8075083687048,-2.1349926324072,0.00245379380608901,95567.429883319,NA,0.00429248414642522,0.0237517456102195,NA,99.8772349534122,NA,0.0947208168311165,NA,0,0,38.6219511407577,113.209442329572,0,1.97235443015321,562.372381764286,0,1303205,0.57,0.434,0.776,0.551,18974,54.53,131530,7076.84,NA,NA,NA,87.8150024414062,2.00169295072556,16.5,169.522859922468,55.1851055391404,0,23.5631226796285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6838",2,698458,698460,-58.3300309008539,0.567710061075893,0.0114303467787713,290341.35495078,NA,0.0117468412457382,0.00358135403833481,NA,99.4268400997049,NA,0.557831705011031,NA,0,25.3423187548402,9.04968336094876,112.406411295134,0,1.43657853286255,0,569.143948084566,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,NA,NA,NA,194.970001220703,2.22926497459412,11.5,243.180552336299,179.951944800285,182.698334605265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7124",2,698458,698460,-57.6543552162621,-1.23409173325876,0.000789661130186192,14441.3005156949,NA,NA,0.039490854147112,NA,99.9605091458529,NA,NA,NA,0,0,29.8616135599897,137.344712068012,0,0.05650337794146,0,624.440070997224,1503002,0.563,0.47,0.756,0.501,7319,57.26,56499,8060.87,NA,NA,NA,142.159996032715,3.63807189464569,13.5,132.812097961419,147.639534241777,61.6328363663869,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7717",2,698458,698460,-56.3030038459034,-0.107965619235035,0.00145779568473436,32638.1530464295,NA,0.0177635160301407,0.0551528521903561,NA,99.9270836317795,NA,NA,NA,0,0,34.9159830478456,182.964618486715,0,0.974148203492328,0,0,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,NA,NA,NA,307.740005493164,8.41031360626221,17,169.033374702076,187.759646668233,77.871532097909,27.3536138355011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521",2,698458,698460,-68.2399408235726,-0.558416074911228,0.0102382384776961,139642.390965803,NA,0.0328052029911469,0.0136091453456723,NA,99.6881356903418,NA,0.265449961321376,NA,0,0,77.482112363433,83.8315336971831,0,2.30806760415393,0,624.482489641208,1303809,0.609,0.476,0.777,0.61,44816,49.69,313522,7037.06,NA,NA,NA,111.349998474121,0.926387012004852,24,901.958036427302,135.851843058458,120.983212647728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4365",2,698458,698460,-63.960661527025,-4.61247010028118,0.000120329875650582,1701.01123369121,NA,0.00257857490760107,0.00343809987680142,NA,99.9939833252156,NA,NA,NA,0,0,33.0942040837514,118.067362911465,0,1.15408591373244,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,76.4300003051758,0.690952003002167,15.5,601.872977744313,104.864824285089,87.2595469568032,84.2404498353451,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4478",2,698458,698460,-63.7354363296736,-1.23409174388632,0.001181514767706,25537.7409854733,NA,0.0476465740253199,0.00100157963416588,NA,99.9409068015842,NA,0.0104450447563014,NA,0,0,85.6000992668397,81.910497263554,0,1.30307504194709,0,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,57.5099983215332,1.02944302558899,18,403.769102322683,166.668211150409,27.3792819343571,102.371263712953,NA,NA,NA,NA,NA,NA,NA,NA,NA
