"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_4","pland_23","pland_32","pland_5","pland_41","pland_39","pland_25","pland_30","pland_9","pland_24","pland_11","pland_20"
"960",2,79298,79300,-69.7264272644845,-0.738596242278825,0.997807844418768,131739.042358349,94.1969464533567,0.0076703922857769,0.00525969756738988,5.62583095916429,0.164292497625831,0,0,108.318169604881,140.696445982638,0,1.89392480177359,0,73.5233056490702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.889999389648,1.31810903549194,23,1067.20160827119,300.544160345943,200.850637800241,11.1676233386088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1642",2,1369002,1369004,-66.5732741260494,-6.41427191926119,0.00688368450681731,120842.109224989,NA,0.00504054350208196,7.30513551026371e-05,99.7940682299657,0.20081817517715,0,0,27.3021229688489,312.802360833112,0,1.89429896535243,0,74.8992776821021,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,115.970001220703,0.788057029247284,13.5,949.698731126178,173.714077301718,100.582283922791,14.8305971455217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1644",2,1368940,1368942,-66.573274129174,-5.78364126322949,0.00908145396968696,155430.384543811,NA,0.00496749214697933,0.00394477317554241,99.5670976696618,0.423990065015706,0,0,34.9993150277692,306.653596175702,0,0.6359991761391,0,0,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,106.529998779297,1.38644897937775,15.5,905.520579270067,106.306269777522,84.5345264357853,80.6971835757305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851",2,1368958,1368960,-65.6273281841057,-6.72958723803367,0.00297827445014687,108725.370143938,NA,7.30513551026372e-05,NA,99.8509752355906,0.148951713054277,0,42.0508638000117,4.3792468823224,208.573461137351,0,0.0633821001101247,0,1092.81043338868,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,105.25,1.46633404493332,12.5,898.608197998835,107.796506710064,76.6835370042168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2347",2,1368978,1368980,-63.4201209971512,-4.83769533915181,0.00508519815074659,160255.394737287,NA,0.000949667616334283,0.00496749214697933,99.7454160274673,0.248666812769377,0,0,71.181362206425,266.360521672466,0,1.65823281776029,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,62.9349994659424,0.774594515562057,15.5,580.185659725879,84.8931901769049,24.3720003581648,45.7350444537102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2484",2,1368940,1368942,-62.7894903368555,-5.78364128078703,0.00845018584869883,255400.258662879,NA,0.00876616261231646,NA,99.5765943458251,0.414639491562569,0,0,6.38722661207866,226.697585080311,0,3.96990575009317,1063.10536088089,173.287529753721,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,66.9949989318848,1.07357001304626,12.5,628.988926274739,46.6048567312498,0,11.7715556855889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2496",2,1368934,1368936,-62.7894903453005,-1.99985749996223,0.00233773653804914,81537.2509082456,NA,0.0313390313390313,0.00686682737964789,99.8830447804807,0.0787493608006429,0,0,89.5756812041857,189.907476833774,0,4.26596184727199,1223.08997586606,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,56.4300003051758,0.674970507621765,18,325.402679180763,215.534905540282,0,163.611916460285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4372",2,1368997,1368999,-54.2759768582626,-6.41427190172839,0.00401524647473328,78094.6874556958,NA,0.00759734093067426,0.0286361312002338,99.8011542114106,0.16261231645847,0,0,35.453663094125,149.722397601916,0,1.67632954845327,627.452506490886,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,NA,NA,NA,261.125,2.48547005653381,8.5,259.89683086403,141.499636502271,0,39.4107393118196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2581",2,1368921,1368923,-62.4741750705709,2.72987221210802,0.488547584187844,154400.326187712,NA,0.0300971583022865,0.0765578201475637,99.5279421433268,0.365402878223391,0,0,81.293627005916,335.575021638377,0,0.480426838404951,0,1222.46396150411,1400308,0.665,0.547,0.813,0.661,17528,56.57,300036,17804.2,NA,NA,NA,265.25,3.64790511131287,9,462.499097411634,168.641518619941,65.0233061230226,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1299",3,1368936,1368939,-68.1498506835812,-4.20706471475598,0.000861820226629173,29817.4787230839,NA,NA,0.0200891226532252,99.9568997004895,0.0230111768573307,0,0,81.8170889486074,308.98078955142,0,0.288779978820087,0,0,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,NA,NA,NA,121.915000915527,1.35595399141312,20,969.049831109351,92.2513887657963,80.0890921658272,42.3487235156899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
