"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_15","pland_3","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_33","pland_12","pland_23","pland_32","pland_5","pland_4","pland_41","pland_25","pland_39","pland_24","pland_30","pland_20","pland_9","pland_11"
"1205",2,78291,78293,-71.1678687324196,-10.0178755233224,0.987453869189069,51871.8772199712,88.7933254733179,0.00572331219523363,11.2009512144868,0,0,93.7238911875758,43.9170984659892,0,5.10789195636214,0,67.4769493048573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.775009155273,4.4718930721283,4.5,1335.13145735547,201.982900151055,31.8808832128896,7.54264652030814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2098",2,698419,698421,-69.1408416501488,-7.54039805003079,0.00106266341509265,46565.1825223125,NA,0.000286508323066785,99.9468527060711,0,0,54.8215079973246,115.920621076469,0,5.16449127117122,0,0,1303502,0.496,0.317,0.724,0.531,19329,51.34,150716,7690.77,NA,NA,NA,177.495002746582,1.35211700201035,12.5,1249.15740647038,123.152649667397,78.6911107447345,48.1146988056056,0.0528607856058218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3195",2,698455,698457,-66.663364231051,-3.26111875072647,0.00661301485839327,236440.561482991,NA,NA,99.6993095149414,0,0,49.5536773637768,199.900012707266,0,0.319118852963324,0,0.758121197960049,1302207,0.522,0.376,0.704,0.538,14312,52.1,99727,7145.78,NA,NA,NA,82.8300018310547,1.25701105594635,21,776.814533901602,57.1182843163831,47.6117713988567,14.9373853922661,0.300690485058591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3473",2,698458,698460,-65.9876885241552,-6.86472235904446,0.00429586637582435,149582.675362719,NA,NA,99.7849755035384,0,0,39.8044540733848,117.409190302448,0,3.09561860896352,0,549.931764497362,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,112.939998626709,1.75599950551987,12.5,936.879520924449,137.459965448519,53.3617971136827,0,0.212159413230954,0.00286508323066785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3676",2,698455,698457,-65.5372381023614,-5.28814577280616,0.000418258407504979,19508.4725863956,NA,NA,99.9790848924161,0,0,27.9174536056141,141.565216661284,0,1.7354014721708,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,93.7200012207031,1.32935750484467,16.5,781.631446458696,156.452276869321,87.6019661479388,99.2517083201779,0.0209151075838753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3875",2,698458,698460,-65.0867876635723,-4.61247010951019,0.00214223184603013,59304.8995442164,NA,0.00414940134154438,99.8935463931686,0,0,16.420226156081,118.834759869211,0,1.71060301631202,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,90.1699981689453,1.0950739979744,15.5,695.931962018688,142.728392558629,32.8443180602145,132.760138863299,0.100157963416588,0.00214624207321261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3968",2,698425,698427,-64.8615624193645,-5.73859624762586,1.7190425505853e-05,850.505616845605,NA,0.000859524969200355,99.9991404750308,0,0,88.0349926053448,126.582195670593,0,1.414306635717,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,88.3600006103516,1.15093004703522,16.5,760.740438018795,101.446409788177,109.761379186086,19.8793305023759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4039",2,698449,698451,-64.636337183668,-11.8196773209062,0.00303676944201314,54898.1791663009,NA,0.0832741924406493,99.8507646345093,0,0,26.2769452405002,100.3155027719,0,0.712948412383401,436.318804024853,177.420001902016,1100106,0.657,0.519,0.823,0.663,45783,60.75,804570,16955.8,NA,NA,NA,171.779998779297,0.788401991128922,3.5,605.676839716725,79.2018001783669,0,4.54163693493324,NA,0.0659611730500675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4354",2,698445,698447,-63.960661526038,-7.08994758054899,0.0013432726366126,22644.7120484947,NA,0.000716270807666963,99.9328137982408,0,0,42.7253985086478,85.6394561247013,0,1.21120541914716,619.747228989319,0,1300904,0.53,0.379,0.752,0.522,15450,54.39,102951,6646.31,NA,NA,NA,88.9300003051758,0.67806950211525,10.5,818.733016580785,76.3659253298108,0,16.1321415317873,NA,0.0664699309514941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4365",2,698458,698460,-63.960661527025,-4.61247010028118,0.000120329875650582,1701.01123369121,NA,0.00343809987680142,99.9939833252156,0,0,33.0942040837514,118.067362911465,0,1.15408591373244,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,76.4300003051758,0.690952003002167,15.5,601.872977744313,104.864824285089,87.2595469568032,84.2404498353451,NA,0.00257857490760107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
