"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_39","pland_4","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_33","loss.1","parent_id.1","no_change.1","pland_41","pland_23","pland_32","pland_5","pland_25","pland_24","pland_9","pland_20","pland_30","pland_11"
"10219",2,7668,7670,-50.4471480389379,-10.4683259872742,0.999999436100253,15980.9979971515,98.8901066825393,0.0489343192692475,0.906143403310364,0.101302625855635,0.0211762551223644,0.03233671390307,34.9442709483589,0,7.08419441904455,90.4518768868536,30.9159840301661,1.7451465372244,168.602916810089,401.775287250411,1717503,0.65,0.527,0.822,0.633,7564,58.13,139640,18529.68,178.110000610352,0.862284004688263,3.5,413.445797905481,5.66562348470557,0.0813159043641669,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4668",2,698382,698384,-63.2849858818999,-2.58544308505534,0.0101166594613007,261689.946982997,NA,0.0204853450992751,0.000143254161533393,99.5063461593559,NA,NA,0,0,151.308096042757,109.109528825744,0,2.34373944614004,623.776761324203,0,1303205,0.57,0.434,0.776,0.551,18974,54.53,131530,7076.84,63.6849994659424,0.971741020679474,19,404.232034433689,167.016096100903,0,147.16924141485,0.473025241383262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205",2,78291,78293,-71.1678687324196,-10.0178755233224,0.98744617522496,49004.8543234748,88.793182390513,NA,0.00243240768297429,11.204385201804,NA,NA,0,0,93.7238911875758,43.9170984659892,0,5.10789195636214,0,67.4769493048573,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.775009155273,4.4718930721283,4.5,1335.13145735547,201.982900151055,31.8808832128896,7.54264652030814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3387",2,698397,698399,-66.2129137655793,-4.16201964040198,0.00123585336465848,55482.2023489213,NA,NA,0.00243240768297429,99.9381882282915,NA,NA,0,0,58.9585776808306,124.72553192953,0,0.404632779340727,236.353172712972,0,1302207,0.522,0.376,0.704,0.538,14312,52.1,99727,7145.78,85.3549995422363,0.969262480735779,20,773.275005815981,107.571714535355,1.27978193875991,75.5033555863609,0.0593793640255489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8761",2,698424,698426,-53.8255264030444,-7.76562325646788,0.000415393921457397,12066.5484390046,NA,0.0100277913073375,0.0100277913073375,99.9792281465777,NA,NA,0,0,24.4318699899535,93.8674891500823,0,1.54409335529651,0,618.820343068745,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,328.690002441406,2.7176558971405,7.5,327.743503920826,151.650236645343,45.5608976505183,0,0.000716270807666963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7361",2,24754,24756,-56.9786795315113,-14.0719295602264,0.999826826363048,140324.842878636,96.4509741077356,0.198742015979488,0.048505070854605,2.59494974931893,0.153814015246904,0.535845104278748,76.7521257770864,24.7348097031576,1.33089967492633,108.465352582787,0,0.285051719590504,0,21.7074671719183,5103502,0.718,0.625,0.831,0.714,21904,60.26,1957070,91907.1,468.540008544922,1.95509600639343,3.5,164.129193520318,43.7586954189165,153.420577669458,7.70443019728745,0.00100157963416588,NA,NA,NA,0.016168356951535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4850",2,698432,698434,-62.8345353752485,-5.73859622754157,0.00976291812664443,310063.216954856,NA,0.00686797463428035,NA,99.5113722213319,NA,NA,0,0,8.50200489521491,110.624757788331,0,1.78242790130154,479.874239901508,151.758985726272,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,66.5200004577637,0.841843485832214,12.5,626.971005050737,40.2640639071834,0,6.3943713614626,0.48175980403379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1497",2,698442,698444,-70.4921930678305,-10.4683259386214,0.000432063390962023,17892.3465948125,NA,0.00200315926833177,0.0168837709759392,99.978394496463,NA,NA,0,0,74.8628938338097,105.89155238448,0,0.0919883261985691,0,189.080442844971,1200500,0.603,0.456,0.81,0.593,45177,55.99,500512,11602.31,320.255004882812,3.42976653575897,4.5,1247.62898874438,113.090557742273,35.9749255842442,6.02135720671689,0.00271857329273597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387",2,698442,698444,-68.465166022027,-8.66652415435738,0.00111707032406994,43375.7864591148,NA,NA,0.0558691229980231,99.944130877002,NA,NA,0,0,28.1005638645046,139.934170419382,0,3.20714314413298,0,0,1300706,0.588,0.455,0.777,0.576,33976,52.4,364600,10668.3,179.319999694824,1.59502547979355,10.5,1147.45367228376,48.1662278118237,23.8193670709686,25.0133483198038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2590",2,698445,698447,-68.0147156063258,-7.08994759247257,0.000203167262648241,7751.58042386796,NA,0.00414940134154438,0.00157391085368925,99.9898411208535,NA,NA,0,0,72.7099574236594,109.625627639479,0,3.09667749825187,0,245.371818665882,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,160.839996337891,1.29863703250885,12.5,1120.11507988012,207.599498646121,104.1829328717,3.55148396304807,0.00443556695130606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
