"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_33","pland_5","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_4","pland_39","pland_41","pland_32","pland_23","pland_25","pland_24","pland_9","pland_30","pland_20","pland_11"
"10565",2,6449,6451,-49.7714723717273,1.24338574365389,0.999999660818489,28917.1909727826,99.088473770163,0.262441623929175,0.154284731971464,0.0786465346818325,0.367160416010085,0.0489929232444202,0,0,93.6734295273141,0,0,15.0874013200144,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.536177291968,161.507106421519,17.1577455549614,273.6837042013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3387",2,698397,698399,-66.2129137655793,-4.16201964040198,0.000472117519210835,19219.6720098632,NA,NA,0.00243240768297429,99.9763913371947,0.0211762551223644,NA,0,0,58.9585776808306,124.72553192953,0,0.404632779340727,236.353172712972,0,1302207,0.522,0.376,0.704,0.538,14312,52.1,99727,7145.78,NA,NA,NA,85.3549995422363,0.969262480735779,20,773.275005815981,107.571714535355,1.27978193875991,75.5033555863609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6097",2,495581,495583,-59.9066074940009,-11.8196773351561,0.502052089700781,246061.906273603,29.0853221786093,0.0626020685900925,0.00830874136893677,70.5694352920952,0.0691917600206286,NA,0,0,28.6423469123062,141.854881579833,0,1.7774050052047,0,611.499666230309,5105150,0.716,0.593,0.845,0.733,40905,58.08,1020697,25659.19,NA,NA,NA,386.239990234375,2.16580605506897,4.5,300.023841734053,101.080847176277,251.750703162794,0,0.205139959315818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7361",2,24754,24756,-56.9786795315113,-14.0719295602264,0.999826883117437,140059.377795633,96.4509741077356,0.166405302076418,0.0804125363430324,2.5943774180994,0.00643872621963783,NA,76.7521257770864,24.7348097031576,1.33089967492633,108.465352582787,0,0.285051719590504,0,21.7074671719183,5103502,0.718,0.625,0.831,0.714,21904,60.26,1957070,91907.1,NA,NA,NA,468.540008544922,1.95509600639343,3.5,164.129193520318,43.7586954189165,153.420577669458,7.70443019728745,0.525256976717566,0.161540486710469,0.0145944460978457,NA,NA,NA,NA,NA,NA,NA,NA
"4850",2,698432,698434,-62.8345353752485,-5.73859622754157,0.010318132589439,317071.495146306,NA,0.0120189556099906,0.00143082804880841,99.4833279915753,0.503222224765917,NA,0,0,8.50200489521491,110.624757788331,0,1.78242790130154,479.874239901508,151.758985726272,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,66.5200004577637,0.841843485832214,12.5,626.971005050737,40.2640639071834,0,6.3943713614626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2590",2,698445,698447,-68.0147156063258,-7.08994759247257,0.000326202188821512,13751.0912998744,NA,0.00414940134154438,0.00143082804880841,99.9836885602436,0.010731210366063,NA,0,0,72.7099574236594,109.625627639479,0,3.09667749825187,0,245.371818665882,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,NA,NA,NA,160.839996337891,1.29863703250885,12.5,1120.11507988012,207.599498646121,104.1829328717,3.55148396304807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4039",2,698449,698451,-64.636337183668,-11.8196773209062,0.0027110099402885,40350.6926174065,NA,0.0859927657333852,0.0470742428057966,99.8660744946315,0.000858496829285044,NA,0,0,26.2769452405002,100.3155027719,0,0.712948412383401,436.318804024853,177.420001902016,1100106,0.657,0.519,0.823,0.663,45783,60.75,804570,16955.8,NA,NA,NA,171.779998779297,0.788401991128922,3.5,605.676839716725,79.2018001783669,0,4.54163693493324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3195",2,698455,698457,-66.663364231051,-3.26111875072647,0.00629030655388296,218101.534119741,NA,NA,NA,99.7153539810331,0.284646018966851,NA,0,0,49.5536773637768,199.900012707266,0,0.319118852963324,0,0.758121197960049,1302207,0.522,0.376,0.704,0.538,14312,52.1,99727,7145.78,NA,NA,NA,82.8300018310547,1.25701105594635,21,776.814533901602,57.1182843163831,47.6117713988567,14.9373853922661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3676",2,698455,698457,-65.5372381023614,-5.28814577280616,0.000412529431305431,19402.1593842876,NA,NA,NA,99.9793714007392,0.0206285992608085,NA,0,0,27.9174536056141,141.565216661284,0,1.7354014721708,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,93.7200012207031,1.32935750484467,16.5,781.631446458696,156.452276869321,87.6019661479388,99.2517083201779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012",2,698458,698460,-69.3660668976972,-4.83769533277134,0.000984167431967053,46934.2266760006,NA,NA,0.00400631853666354,99.950779515121,0.0452141663423456,NA,0,16.3593536842198,10.1167494317163,151.504558903255,0,1.3205944116498,0,0,1303908,0.521,0.386,0.78,0.471,38515,50.96,235365,6186.16,NA,NA,NA,130.179992675781,0.830600023269653,20,1120.58156608073,84.4831480929929,183.550498153695,26.3595704487563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3875",2,698458,698460,-65.0867876635723,-4.61247010951019,0.00200787357790533,57446.6439631512,NA,0.00271857329273597,0.0045786497561869,99.9005574506078,0.0921453263432614,NA,0,0,16.420226156081,118.834759869211,0,1.71060301631202,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,90.1699981689453,1.0950739979744,15.5,695.931962018688,142.728392558629,32.8443180602145,132.760138863299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4365",2,698458,698460,-63.960661527025,-4.61247010028118,0.000120329875650582,1701.01123369121,NA,0.00257857490760107,0.00343809987680142,99.9939833252156,NA,NA,0,0,33.0942040837514,118.067362911465,0,1.15408591373244,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,NA,NA,NA,76.4300003051758,0.690952003002167,15.5,601.872977744313,104.864824285089,87.2595469568032,84.2404498353451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5356",2,698458,698460,-61.70840927039,-2.13499263492601,0.0145953990360086,78365.2925042604,NA,0.0207470067077219,0.00958654792701632,99.7696366841418,0.200029761223415,NA,0,0,84.8172509321463,110.511722471194,0,0.790744167030288,621.531509297349,0,1303205,0.57,0.434,0.776,0.551,18974,54.53,131530,7076.84,NA,NA,NA,54.0499992370605,1.07527196407318,18,231.753523332912,99.6364182808641,0,54.7286236409497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7227",2,698461,698463,-57.4291299823488,-0.107965604274703,0.0200659687594487,185525.832122083,NA,0.00243823729785937,0.00114740578722794,99.5872207680447,0.409193588870164,NA,0,0,64.8429902353754,118.719824952915,0,1.55086443921199,0,623.956468332819,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,NA,NA,NA,178.519996643066,3.23552310466766,14.5,196.086779249863,251.103953724164,94.5297670352015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7555",3,13818,13821,-56.5282290621702,-14.5223800065638,0.999998543583751,66472.1068044856,98.0362149951594,0.124493527914231,0.521352504571695,0.323425006274875,0.00200796012764889,NA,105.451742871453,0,0.171491854748311,112.409307956235,37.9931865777059,2.37045480846883,0,0,5100508,0.638,0.541,0.784,0.612,11238,61.22,115519,10577.65,NA,NA,NA,228.039993286133,1.06802999973297,4.5,96.7786568517393,14.3694176450658,97.2790115645354,56.9254127095922,0.448922514252931,0.391408799168131,0.152174692531105,NA,NA,NA,NA,NA,NA,NA,NA
"4668",3,698381,698384,-63.2849858818999,-2.58544308505534,0.00942955633454345,237025.284094476,NA,0.0199123284531416,NA,99.5418731914162,0.438214480130648,NA,0,0,151.308096042757,109.109528825744,0,2.34373944614004,623.776761324203,0,1303205,0.57,0.434,0.776,0.551,18974,54.53,131530,7076.84,NA,NA,NA,63.6849994659424,0.971741020679474,19,404.232034433689,167.016096100903,0,147.16924141485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205",3,78290,78293,-71.1678687324196,-10.0178755233224,0.987442968710509,47624.435891828,88.793182390513,NA,0.00100157963416588,11.2058160298528,NA,NA,0,0,93.7238911875758,43.9170984659892,0,5.10789195636214,0,67.4769493048573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.775009155273,4.4718930721283,4.5,1335.13145735547,201.982900151055,31.8808832128896,7.54264652030814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2505",3,698397,698400,-68.2399408201504,-4.1620196615851,0.000372426138221305,16159.6067200727,NA,NA,NA,99.9813769590007,0.018623040999341,NA,0,0,76.5430253554164,151.14377414261,0,0.161781124417962,0,0,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,NA,NA,NA,124.819999694824,1.25856101512909,20,976.352796863765,87.2027396675376,86.0256833606035,47.6339324966507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8761",3,698423,698426,-53.8255264030444,-7.76562325646788,0.000375290685834084,10471.8504074183,NA,0.00974128298427069,0.00802223304586998,99.9812337048391,0.00100277913073375,NA,0,0,24.4318699899535,93.8674891500823,0,1.54409335529651,0,618.820343068745,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,NA,NA,NA,328.690002441406,2.7176558971405,7.5,327.743503920826,191.088419411112,45.5608976505183,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13292",3,40357,40360,-43.4651660262583,-2.58544310080325,0.999999996686338,14460.5197072359,92.7253602950197,0.0763168719825067,0.00198459950781932,0.0176809774332994,5.15436575808093,1.67139362185802,0,0,55.0011243716698,0,0,54.3980837118906,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.573914396488,64.1982531202485,151.248727906851,240.940259502028,0.00433003528978761,NA,NA,0.348567840827903,NA,NA,NA,NA,NA,NA,NA
"5872",3,698451,698454,-60.5822831220274,3.72086319303775,0.999999995031683,17382.2085442676,NA,99.3956106924906,0.0253559865914105,0.0236369366530098,0.381915594648024,NA,92.1117178689408,0,5.87078990411494,107.994311733104,0,3.44866030863526,0,619.267998112677,1400456,0.65,0.558,0.788,0.624,15580,55.27,171774,13880.7,NA,NA,NA,93.3000030517578,0.804628014564514,-5.5,494.619018635084,91.3820704403055,96.7601754429385,0,NA,NA,0.173480789616938,NA,NA,NA,NA,NA,NA,NA,NA
"2885",3,698454,698457,-67.3390399369367,-6.86472238123104,0.015982097635044,386325.879338287,NA,NA,0.000143425723403492,99.1976765032809,0.802180070995733,NA,0,0,73.8852720389322,191.922714857608,0,0.449652128840738,0,620.037768409512,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,128.429992675781,2.05079293251038,13.5,1046.46805809192,223.505859435463,96.6143353816305,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4769",3,698454,698457,-63.0597606144688,-1.90976741152312,0.0143907339416719,396229.304247816,NA,0.0661834226284273,0.00157579577686732,99.2818668882331,0.650373893361602,NA,0,0,79.4601861804711,123.980064289884,0,0.193671657239239,462.887697732346,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,44.3050003051758,0.973861992359161,18,349.145806225445,240.486834195785,0,188.766545425152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5072",3,698454,698457,-62.3840849577194,0.117259609448394,0.969939965691353,3172758.04704275,NA,74.1232845314156,NA,24.3577915938458,1.51892387473856,NA,0,0,95.5751267609265,127.970022949119,0,2.3153699877101,0,0,1400209,0.624,0.518,0.78,0.601,21564,55.18,350653,16852.66,NA,NA,NA,38.2899990081787,0.554331004619598,17,266.918443542545,232.016204061222,59.3973147564067,83.4430302940268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1220",3,698457,698460,-71.1678687332956,-6.63949715822305,0.000103016966253699,3716.51116212108,NA,NA,0.00515098097571026,99.9948490190243,NA,NA,0,0,53.4187727458581,105.677646456572,0,0.157033615718758,0,512.385266945766,1300607,0.574,0.471,0.763,0.526,42020,55.01,279664,6766.77,NA,NA,NA,199.240005493164,2.79034090042114,15.5,1386.67065671285,142.957552222409,150.364756329418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1424",3,698457,698460,-70.7174183020821,-4.83769534440154,0.000842157087976525,38113.2829549229,NA,NA,0.00100277913073375,99.9578832765092,0.0411139443600837,NA,0,0,32.7672181970622,91.893944180146,0,0.612321540800126,0,622.230410920853,1300201,0.45,0.259,0.733,0.481,19438,49.72,141142,7407.49,NA,NA,NA,122.050003051758,1.11454498767853,19,1259.54098403421,91.0670455538283,287.242597462879,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3669",3,698457,698460,-65.5372381103483,-6.86472235143445,0.0072098306184516,279656.878138994,NA,NA,NA,99.6430106294588,0.356989370541214,NA,0,14.1226366319966,10.6813725479183,115.058355482555,0,2.38851398864112,0,620.033400026442,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,98.3300018310547,1.43240094184875,12.5,902.937551360615,91.6048971904893,61.539870578915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4673",3,698457,698460,-63.2849858744422,-1.45931697330749,0.160010198347611,582755.817342373,NA,0.341947683580208,0.00558691229980231,98.1482967080194,1.50416869610062,NA,0,0,48.2601913370462,132.992964632956,0,1.50948468398311,347.381105011068,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,56.5200004577637,0.693548023700714,18,358.661395658973,222.41840802952,0,158.335354153723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
