"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_3","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_12","pland_15","pland_33","pland_41","pland_24"
"234034",0,27933,27933,-52.3367264761006,-4.27490961434707,0,0,100,0,0,46.056624838159,0,0,6.58197135605768,0,0.27522243376112,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,206.230003356934,2.89787495136261,4.5,259.69222731453,107.720300935344,35.9920606495507,0,NA,NA,NA,NA,NA
"234035",0,27933,27933,-52.3367946361933,-4.25208492415631,0,0,100,0,0,43.8411871999471,0,0,4.39006434332974,0,22.4256479149027,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,187.509994506836,4.18534898757935,4.5,261.344206890126,105.243159368698,36.915135940026,0,NA,NA,NA,NA,NA
"234036",0,27933,27933,-52.3369286975513,-4.20704003974969,0,0,100,0,0,39.293823128658,4.6044524987774,0,0.798385032663537,0,22.5751831910155,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,173.679992675781,2.51368999481201,7.5,264.64472813619,100.361343183626,39.0211769751236,0,NA,NA,NA,NA,NA
"234037",0,27933,27933,-52.3370627544144,-4.16199517182797,0.000704349335434062,37758.5581857548,99.9647763296935,0,0,34.3445543069329,6.20689826970725,0,1.32011634230642,0,22.7247217258291,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,192.330001831055,1.47725999355316,7.5,267.997153616828,95.4897885627115,41.6188090367925,0,0.0352236703064459,NA,NA,NA,NA
"243288",0,27933,27933,-51.4831840391772,-4.25210975236053,0,0,100,0,0,8.65083005200533,2.53095402369139,0,2.26052921609863,0,24.9088835762539,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,157.86499786377,3.52875244617462,2.5,194.893775558564,104.360673201617,129.388658187044,0,NA,NA,NA,NA,NA
"243289",0,27933,27933,-51.4831840278782,-4.20706471299718,0,0,100,0,0,7.78958394970903,3.66772673676091,0,2.14784059424333,0,24.910297992053,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,176.379997253418,4.17087340354919,5.5,198.478646592958,102.298405216649,130.088907457103,0,NA,NA,NA,NA,NA
"243295",0,27933,27933,-51.4831840337984,-3.93679443795395,0,0,100,0,0,8.51167558508912,0.060990659968972,0,3.23116638426089,0,24.9184452180009,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,139.774993896484,5.32143044471741,4.5,221.126177792691,93.5460441718581,137.86531591401,0,NA,NA,NA,NA,NA
"234038",0,27934,27934,-52.3371968245514,-4.11695029405364,0,0,100,0,0,29.4060381268149,0,0,3.79898014936798,0,22.8742893947558,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,191.765007019043,2.28501546382904,7.5,271.399562963532,90.6301456704871,44.5721236049885,0,NA,NA,NA,NA,NA
"234521",0,27934,27934,-52.2939948750105,-4.27490960981674,0,0,100,0,0,44.052821750211,0.0667619439798803,0,1.88826166890191,0,0.306734190506935,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,187.915000915527,1.92123049497604,4.5,256.103570579593,108.733136505986,40.4814440880196,0,NA,NA,NA,NA,NA
"234522",0,27934,27934,-52.2939948494423,-4.25210974142511,0,0,100,0,0,41.729712178516,3.15218209513573,0,2.56356702596813,0,24.9088808108563,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,184.115005493164,2.27034449577332,4.5,257.770809116229,106.283773980209,41.3191659359411,0,NA,NA,NA,NA,NA
"234523",0,27934,27934,-52.2939948431144,-4.20706470404621,0,0,100,0,0,37.2158962212839,6.23609277375624,0,1.33819052879463,0,24.9103041442184,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,181.790000915527,2.58303344249725,7.5,261.104973340219,101.454990446471,43.2678780745578,0,NA,NA,NA,NA,NA
"234525",0,27934,27934,-52.2939948463634,-4.11697462491393,0,0,100,0,0,28.6565759921911,0,0,5.71552757438552,0,24.9130664710155,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,197.82999420166,2.0105100274086,7.5,267.926590495399,91.846251484886,48.3860621889018,0,NA,NA,NA,NA,NA
"234527",0,27934,27934,-52.2939948444386,-4.02688452801765,0,0,100,0,0,19.3565429684552,5.30626422505762,0,1.06804862565143,0,24.9157760549946,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,217.305000305176,2.66667056083679,5.5,274.937170003667,82.3215929921422,54.7619812468773,0,NA,NA,NA,NA,NA
"241348",0,27934,27934,-51.6633642070499,-3.89174939354243,0.000358532166417791,15966.0784958744,99.9820717845746,0,0,21.3534018990252,0,0,3.67340989619012,0,24.9197324979677,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,135.42000579834,3.22158205509186,6.5,237.737578093121,83.9114383823618,121.491794430576,0,NA,0.0179282154254366,NA,NA,NA
"241826",0,27934,27934,-51.6183189796837,-4.27490962605289,0,0,100,0,0,2.6590798388366,0,0,3.01939259900948,0,0.306716170818806,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,220.470001220703,3.37058305740356,7.5,203.985700933486,119.04688670554,114.192163524989,0,NA,NA,NA,NA,NA
"242322",0,27934,27934,-51.5732741272225,-3.89174940279077,0,0,100,0,0,11.9389223510555,0,0,5.2569614532109,0,24.91973350577,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,139.889999389648,3.07044947147369,6.5,231.272160472208,85.8447164697998,130.547221725226,0,NA,NA,NA,NA,NA
"242800",0,27934,27934,-51.5282291962591,-4.27490962483788,0,0,100,0,0,4.8640113764644,0.0613365124066497,0,1.01336151787034,0,0.306717546447277,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,172.899993896484,2.80922603607178,7.5,196.67049380218,109.960026555499,124.129100518725,0,NA,NA,NA,NA,NA
"242803",0,27934,27934,-51.5282290863729,-4.16201967404081,0,0,100,0,0,13.0902821334775,5.67202720508479,0,1.10251157367469,0,24.9116957744098,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,148.009994506836,3.42560291290283,7.5,205.534327833903,105.1377969225,126.037714945021,0,NA,NA,NA,NA,NA
"242808",0,27934,27934,-51.5282290826321,-3.93679442780395,0,0,100,0,0,10.5914712629027,7.51663838702012,0,0.401694903459808,0,24.9184403108983,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,138.970001220703,3.42520689964294,6.5,224.249862947059,91.9866000370232,133.212688023185,0,NA,NA,NA,NA,NA
"242809",0,27934,27934,-51.5282290871541,-3.89174939430829,0.00451280740886917,49228.7420287021,99.7741044856395,0,0,7.29085390925258,0,0,3.0518882628401,0,24.8924359046881,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,113.410003662109,4.41387510299683,6.5,228.134970717622,87.2270457530652,135.125054137999,0,NA,NA,0.225895514360501,NA,NA
"243291",0,27934,27934,-51.4831840314982,-4.11697462811067,0,0,100,0,0,13.1388241305627,5.22800235832527,0,0.815478293258723,0,24.913068755281,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,144.690002441406,3.94094300270081,5.5,205.822721274019,98.8000476972288,131.981957334792,0,NA,NA,NA,NA,NA
