"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_3","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_15","pland_33","pland_12","pland_41","pland_24"
"243287",3,27930,27933,-51.4831837311066,-4.27490961779615,0,0,100,0,0,8.44244811213859,0,0,3.72465281989328,0,0.306725331363678,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,170.36499786377,2.68011057376862,2.5,193.102843917527,105.478787459612,129.101298254666,0,NA,NA,NA,NA,NA
"234042",4,27929,27933,-52.3377330700622,-3.93677073870734,0.00135577885215932,58712.8115996306,99.9321880650995,0,0,10.0800387447269,5.54782028373006,0,0.942130981318041,0,22.7359518329573,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,200.729995727539,3.39928007125854,5.5,285.433094370962,71.3592813486975,59.015403589929,0,0.0678119349005425,NA,NA,NA,NA
"241339",5,27929,27934,-51.6633645982784,-4.27490961838454,0,0,100,0,0,6.42097379674396,0.0614494454547242,0,1.17580588351804,0,0.306724620359898,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,221.809997558594,3.28612005710602,7.5,207.665050680914,123.643489691506,109.227947952334,0,NA,NA,NA,NA,NA
"242316",5,27929,27934,-51.5732741265144,-4.16201966217214,0.000788685910999565,25279.6242850856,99.960557926064,0,0,9.32827455628508,0,0,4.8953249052295,0,24.9116877950449,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,163.259994506836,3.99802803993225,7.5,209.009747161079,109.861549260257,121.138968228054,0,0.0394420739359604,NA,NA,NA,NA
"243774",5,27929,27934,-51.4600033627289,-4.27490937342429,0,0,100,0,0,5.93609332869349,0,0,3.06212067720961,0,0.00896332747110725,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,162.520004272461,2.30678510665894,2.5,191.291877258611,103.191381869407,131.660816871107,0,NA,NA,NA,NA,NA
"242313",6,27928,27934,-51.5732741443169,-4.27490962003554,0,0,100,0,0.0815426291375955,1.10255788040839,0.0787856190623013,0,0.392627138208658,0,0.306722664907932,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,185.514999389648,2.76613450050354,7.5,200.299189596516,114.484352128778,119.159301991187,0,NA,NA,NA,NA,NA
"237932",6,27929,27935,-51.978679568121,-4.2070647195127,0,0,100,0,0,27.8155488741601,0,0,3.6523856207884,0,24.9102929564619,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,245.050003051758,2.40477800369263,6.5,236.19525403335,110.648019008417,76.1893702086846,0,NA,NA,NA,NA,NA
"243290",6,27927,27933,-51.4831840322881,-4.1620196688823,0.00035639823656286,13225.868595312,99.9821785001426,0,0,9.8051477988816,0,0,3.23752387804063,0,24.9116932796364,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,163.169998168945,5.09851622581482,5.5,202.122676732418,100.441012515957,130.944158669965,0,NA,0.017821499857428,NA,NA,NA
"240856",14,27920,27934,-51.7084092799326,-4.11697461865226,0.00207859172941494,95796.4709752072,99.8960163505325,0,4.4406855907259,1.32266201084173,0.777118767291552,0,3.12206277403548,0,24.9130944154606,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,171.369995117188,3.8622989654541,6.5,223.196521191318,108.228768387183,107.771399083566,0,0.103983649467532,NA,NA,NA,NA
"243781",15,27919,27934,-51.4582459406402,-3.98141989072794,0,0,100,0,0,11.620818466607,1.30628076634351,0,0.721717259798145,0,2.66961142568612,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,138.690002441406,2.17431402206421,4.5,215.536337079178,92.5405132507568,138.778250955229,0,NA,NA,NA,NA,NA
"234524",16,27918,27934,-52.2939948473648,-4.16201965899476,0.00071700004865427,26610.1308264573,99.9641435691491,0,0,32.837475418798,6.19350580688396,0,1.87425187179069,0,24.911693744751,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,191.759994506836,2.25257802009583,7.5,264.573915113459,96.6416719361575,45.6348735689645,0,0.0179282154254366,0.0179282154254366,NA,NA,NA
"234051",17,27937,27954,-52.3389396284418,-3.53136658487548,0.808019252639278,3736062.36803495,69.1419556097386,0,0,3.74515624404373,4.03485632776758,1.46616068435711,2.39033811299806,0,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,112.415000915527,1.50843048095703,4.5,318.572661388434,31.1652840253918,87.4507711348796,24.8184027960421,3.51751586647065,19.9110760514898,7.40793861379038,0.0215138585105239,NA
"242805",19,27936,27955,-51.528229084797,-4.07192956896504,0.000645311614941413,23949.117743753,99.9677292122342,0,0,19.6550917470308,5.78909306482811,0,0.547273670881013,0,24.9144677048473,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,150.309997558594,4.35530710220337,7.5,212.868456913595,102.224196045571,128.377197634395,0,0.0322707877657858,NA,NA,NA,NA
"242801",19,27915,27934,-51.5282290828274,-4.2521097543443,0.00315287683136267,135711.667214796,99.8422317042562,0,0,6.52544451397626,7.15479370149862,0,1.68057945505094,0,24.9088971645703,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,176.315002441406,5.639897108078,7.5,198.429309241544,108.888022677535,124.427841201163,0,0.157768295743842,NA,NA,NA,NA
